canonical_playlist_index	video_id	canonical_title	youtube_url	transcript_info_json	primary_transcript_vtt	legacy_id	legacy_sequence	legacy_title	curated_output
1	Jmk9VWv-0mY	Who Will Be Sealed? || I'd Like to Know	https://www.youtube.com/watch?v=Jmk9VWv-0mY	curation/transcripts/id-like-to-know/001-Jmk9VWv-0mY-Who Will Be Sealed？ ｜｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/001-Jmk9VWv-0mY-Who Will Be Sealed？ ｜｜ I'd Like to Know.en-orig.vtt				
2	lbG11ljvnXQ	Do We Share in Others’ Sins? + Coals of Fire Explained || I'd Like to Know - Stephen Bohr	https://www.youtube.com/watch?v=lbG11ljvnXQ	curation/transcripts/id-like-to-know/002-lbG11ljvnXQ-Do We Share in Others’ Sins？ + Coals of Fire Explained ｜｜ I'd Like to Know - Stephen Bohr.info.json	curation/transcripts/id-like-to-know/002-lbG11ljvnXQ-Do We Share in Others’ Sins？ + Coals of Fire Explained ｜｜ I'd Like to Know - Stephen Bohr.en-orig.vtt				
3	owMOlURAnkc	The Mark of the Beast –Microchips & Biometric Systems || I'd Like to Know	https://www.youtube.com/watch?v=owMOlURAnkc	curation/transcripts/id-like-to-know/003-owMOlURAnkc-The Mark of the Beast –Microchips & Biometric Systems ｜｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/003-owMOlURAnkc-The Mark of the Beast –Microchips & Biometric Systems ｜｜ I'd Like to Know.en-orig.vtt				
4	bywgTIr8XYg	Is Deception Ever Justified? || I'd Like to Know	https://www.youtube.com/watch?v=bywgTIr8XYg	curation/transcripts/id-like-to-know/004-bywgTIr8XYg-Is Deception Ever Justified？ ｜｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/004-bywgTIr8XYg-Is Deception Ever Justified？ ｜｜ I'd Like to Know.en-orig.vtt				
5	QJwiUNYRjjs	How to Start Keeping the Sabbath + Tithing Questions Answered || I'd Like to Know	https://www.youtube.com/watch?v=QJwiUNYRjjs	curation/transcripts/id-like-to-know/005-QJwiUNYRjjs-How to Start Keeping the Sabbath + Tithing Questions Answered ｜｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/005-QJwiUNYRjjs-How to Start Keeping the Sabbath + Tithing Questions Answered ｜｜ I'd Like to Know.en-orig.vtt				
6	pO-EvO-PtQU	Are Children Born Sinful? + Trumpets & Crocheting on Sabbath – is it work? || I'd Like to Know	https://www.youtube.com/watch?v=pO-EvO-PtQU	curation/transcripts/id-like-to-know/006-pO-EvO-PtQU-Are Children Born Sinful？ + Trumpets & Crocheting on Sabbath – is it work？ ｜｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/006-pO-EvO-PtQU-Are Children Born Sinful？ + Trumpets & Crocheting on Sabbath – is it work？ ｜｜ I'd Like to Know.en-orig.vtt				
7	muPjEjcxlQo	The Torn Veil & Christ’s Two-Phase Ministry Explained || I'd Like to Know	https://www.youtube.com/watch?v=muPjEjcxlQo	curation/transcripts/id-like-to-know/007-muPjEjcxlQo-The Torn Veil & Christ’s Two-Phase Ministry Explained ｜｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/007-muPjEjcxlQo-The Torn Veil & Christ’s Two-Phase Ministry Explained ｜｜ I'd Like to Know.en-orig.vtt				
8	KSm7PhwDAG0	Israel’s Lost Tribes + Why God Allowed War || I'd Like to Know	https://www.youtube.com/watch?v=KSm7PhwDAG0	curation/transcripts/id-like-to-know/008-KSm7PhwDAG0-Israel’s Lost Tribes + Why God Allowed War ｜｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/008-KSm7PhwDAG0-Israel’s Lost Tribes + Why God Allowed War ｜｜ I'd Like to Know.en-orig.vtt				
9	Hq1aI5lHRB0	Is Self-Defense Sin? + Revelation 17:12 a Literal Time Prophecy?  || I'd Like to Know	https://www.youtube.com/watch?v=Hq1aI5lHRB0	curation/transcripts/id-like-to-know/009-Hq1aI5lHRB0-Is Self-Defense Sin？ + Revelation 17_12 a Literal Time Prophecy？  ｜｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/009-Hq1aI5lHRB0-Is Self-Defense Sin？ + Revelation 17_12 a Literal Time Prophecy？  ｜｜ I'd Like to Know.en-orig.vtt				
10	-YZ7nx_9680	The Holy Spirit, Memory in Heaven & the Filioque Debate || I'd Like to Know  – Stephen Bohr	https://www.youtube.com/watch?v=-YZ7nx_9680	curation/transcripts/id-like-to-know/010--YZ7nx_9680-The Holy Spirit, Memory in Heaven & the Filioque Debate ｜｜ I'd Like to Know  – Stephen Bohr.info.json	curation/transcripts/id-like-to-know/010--YZ7nx_9680-The Holy Spirit, Memory in Heaven & the Filioque Debate ｜｜ I'd Like to Know  – Stephen Bohr.en-orig.vtt				
11	hBIInSOl4O0	Should Christians follow the Gregorian calendar? || I'd Like to Know	https://www.youtube.com/watch?v=hBIInSOl4O0	curation/transcripts/id-like-to-know/011-hBIInSOl4O0-Should Christians follow the Gregorian calendar？ ｜｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/011-hBIInSOl4O0-Should Christians follow the Gregorian calendar？ ｜｜ I'd Like to Know.en-orig.vtt				
12	be_SqJIhdgI	Armageddon – Before or After the Millennium? || I'd Like to Know	https://www.youtube.com/watch?v=be_SqJIhdgI	curation/transcripts/id-like-to-know/012-be_SqJIhdgI-Armageddon – Before or After the Millennium？ ｜｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/012-be_SqJIhdgI-Armageddon – Before or After the Millennium？ ｜｜ I'd Like to Know.en-orig.vtt				
13	Qnm2HGZAaYc	Is It Wrong to Show Affection in Church? How should we behave in church? || I'd Like to Know	https://www.youtube.com/watch?v=Qnm2HGZAaYc	curation/transcripts/id-like-to-know/013-Qnm2HGZAaYc-Is It Wrong to Show Affection in Church？ How should we behave in church？ ｜｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/013-Qnm2HGZAaYc-Is It Wrong to Show Affection in Church？ How should we behave in church？ ｜｜ I'd Like to Know.en-orig.vtt				
14	cMX5npkphGc	Why did God allow slavery in Israel — especially of foreigners?  || I'd Like to Know	https://www.youtube.com/watch?v=cMX5npkphGc	curation/transcripts/id-like-to-know/014-cMX5npkphGc-Why did God allow slavery in Israel — especially of foreigners？  ｜｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/014-cMX5npkphGc-Why did God allow slavery in Israel — especially of foreigners？  ｜｜ I'd Like to Know.en-orig.vtt				
15	bbKn-6UQprU	What Happens When We Die? + Is Ezekiel 9 for the End Times? | I'd Like to Know	https://www.youtube.com/watch?v=bbKn-6UQprU	curation/transcripts/id-like-to-know/015-bbKn-6UQprU-What Happens When We Die？ + Is Ezekiel 9 for the End Times？ ｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/015-bbKn-6UQprU-What Happens When We Die？ + Is Ezekiel 9 for the End Times？ ｜ I'd Like to Know.en-orig.vtt				
16	h3AqwoQjDDE	Understanding Daniel & Revelation + What Did Jesus Mean in John 20:17? || I'd Like to Know	https://www.youtube.com/watch?v=h3AqwoQjDDE	curation/transcripts/id-like-to-know/016-h3AqwoQjDDE-Understanding Daniel & Revelation + What Did Jesus Mean in John 20_17？ ｜｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/016-h3AqwoQjDDE-Understanding Daniel & Revelation + What Did Jesus Mean in John 20_17？ ｜｜ I'd Like to Know.en-orig.vtt				
17	6OvJhhEibrE	Still Called a Sinner? Synagogue of Satan EXPLAINED || I'd Like to Know	https://www.youtube.com/watch?v=6OvJhhEibrE	curation/transcripts/id-like-to-know/017-6OvJhhEibrE-Still Called a Sinner？ Synagogue of Satan EXPLAINED ｜｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/017-6OvJhhEibrE-Still Called a Sinner？ Synagogue of Satan EXPLAINED ｜｜ I'd Like to Know.en-orig.vtt				
18	P29EjHsYZWM	Tithing Struggles in Marriage + What Does Revelation 17:10 Mean? || I'd Like to Know	https://www.youtube.com/watch?v=P29EjHsYZWM	curation/transcripts/id-like-to-know/018-P29EjHsYZWM-Tithing Struggles in Marriage + What Does Revelation 17_10 Mean？ ｜｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/018-P29EjHsYZWM-Tithing Struggles in Marriage + What Does Revelation 17_10 Mean？ ｜｜ I'd Like to Know.en-orig.vtt				
19	HHch3UXNiMA	Are Church Manuals Replacing the Bible? || I'd Like to Know - Pastor Stephen Bohr	https://www.youtube.com/watch?v=HHch3UXNiMA	curation/transcripts/id-like-to-know/019-HHch3UXNiMA-Are Church Manuals Replacing the Bible？ ｜｜ I'd Like to Know - Pastor Stephen Bohr.info.json	curation/transcripts/id-like-to-know/019-HHch3UXNiMA-Are Church Manuals Replacing the Bible？ ｜｜ I'd Like to Know - Pastor Stephen Bohr.en-orig.vtt				
20	faYSNgCylTw	Did the Sun Standing Still Change the Sabbath? + Is Christ in the Bread? || I'd Like to Know	https://www.youtube.com/watch?v=faYSNgCylTw	curation/transcripts/id-like-to-know/020-faYSNgCylTw-Did the Sun Standing Still Change the Sabbath？ + Is Christ in the Bread？ ｜｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/020-faYSNgCylTw-Did the Sun Standing Still Change the Sabbath？ + Is Christ in the Bread？ ｜｜ I'd Like to Know.en-orig.vtt				
21	za2dTYNRGbY	Buying & Selling in Revelation – Literal or Symbolic? || Bible Q&A Program with Pr Bohr	https://www.youtube.com/watch?v=za2dTYNRGbY	curation/transcripts/id-like-to-know/021-za2dTYNRGbY-Buying & Selling in Revelation – Literal or Symbolic？ ｜｜ Bible Q&A Program with Pr Bohr.info.json	curation/transcripts/id-like-to-know/021-za2dTYNRGbY-Buying & Selling in Revelation – Literal or Symbolic？ ｜｜ Bible Q&A Program with Pr Bohr.en-orig.vtt				
22	xLan0n2S-Uw	Daniel 8:14 – Why Not Antiochus? || I'd Like to Know	https://www.youtube.com/watch?v=xLan0n2S-Uw	curation/transcripts/id-like-to-know/022-xLan0n2S-Uw-Daniel 8_14 – Why Not Antiochus？ ｜｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/022-xLan0n2S-Uw-Daniel 8_14 – Why Not Antiochus？ ｜｜ I'd Like to Know.en-orig.vtt				
23	R4zhQeFKtGY	Did the judgment begin in 1844? || I'd Like to Know - Pr Stephen Bohr	https://www.youtube.com/watch?v=R4zhQeFKtGY	curation/transcripts/id-like-to-know/023-R4zhQeFKtGY-Did the judgment begin in 1844？ ｜｜ I'd Like to Know - Pr Stephen Bohr.info.json	curation/transcripts/id-like-to-know/023-R4zhQeFKtGY-Did the judgment begin in 1844？ ｜｜ I'd Like to Know - Pr Stephen Bohr.en-orig.vtt				
24	Y_LlnwjlmNQ	Did God Allow “Strong Drink”? Deuteronomy 14:26 Explained || I'd Like to Know	https://www.youtube.com/watch?v=Y_LlnwjlmNQ	curation/transcripts/id-like-to-know/024-Y_LlnwjlmNQ-Did God Allow “Strong Drink”？ Deuteronomy 14_26 Explained ｜｜ I'd Like to Know.info.json	curation/transcripts/id-like-to-know/024-Y_LlnwjlmNQ-Did God Allow “Strong Drink”？ Deuteronomy 14_26 Explained ｜｜ I'd Like to Know.en-orig.vtt				
